Location_City,Location_District,Listing_Date,Square_Footage,Bedrooms,Bathrooms,Year_Built,Build_Quality_Rating,Market_Trend_Index,Sale_Price_GBP,Agent_Commission_Percentage,Days_On_Market,Revenue_GBP_Monthly,Listing_Year,Listing_Month,Days_Since_Listed,Log_Sale_Price,Property_Age,Property_Type_FreqEnc,Transaction_Type_FreqEnc,Revenue_Activity_FreqEnc
0,21,2023-04-16,1228,2,1,2005,8,1.11,641926.77,1.16,56,620.53,2023,4,864,13.372231068554461,18,0.3285,0.6942,0.6942
2,27,2023-07-27,2465,3,1,1981,7,1.14,1272626.97,2.47,153,57646.24,2023,7,762,14.056594588165737,42,0.3341,0.3058,0.0995
0,25,2019-02-17,833,3,3,1962,3,1.0,563348.17,3.0,103,1408.37,2019,2,2383,13.241654910262035,57,0.3374,0.6942,0.6942
0,15,2024-07-13,1252,2,2,1977,5,1.12,993073.49,2.32,15,1919.94,2024,7,410,13.808560955319557,47,0.3341,0.6942,0.6942
1,14,2024-03-20,2006,3,2,2007,9,1.14,2273055.29,1.15,12,49325.96,2024,3,525,14.636635867156286,17,0.3341,0.3058,0.0995
2,3,2025-02-22,3910,2,2,1992,7,1.07,2163323.48,1.88,104,3389.21,2025,2,186,14.587156707553866,33,0.3374,0.6942,0.6942
2,26,2022-11-11,2537,2,1,2021,3,1.12,1867658.85,1.59,152,85033.61,2022,11,1020,14.440196788042204,1,0.3285,0.3058,0.1044
1,7,2019-09-01,1347,1,1,1983,3,1.0,770648.54,1.35,126,866.98,2019,9,2187,13.554988996675966,36,0.3374,0.6942,0.6942
0,21,2022-10-20,2506,4,1,1969,9,1.06,1374358.73,1.55,75,1775.21,2022,10,1042,14.133498529724665,53,0.3341,0.6942,0.6942
2,27,2018-05-31,536,1,1,2000,2,1.0,296458.36,2.65,96,654.68,2018,5,2645,12.599665422258262,18,0.3374,0.6942,0.6942
1,28,2023-01-13,3036,4,4,2022,8,1.1,2637161.74,1.18,135,68702.93,2023,1,957,14.785214177500206,1,0.3285,0.3058,0.1019
0,20,2018-07-11,3171,1,1,2001,5,1.02,1908048.84,2.28,29,3625.29,2018,7,2604,14.461592252242497,17,0.3374,0.6942,0.6942
0,18,2020-11-21,3011,3,3,1994,9,0.88,1480551.23,1.16,151,89696.57,2020,11,1740,14.207925704523594,26,0.3285,0.3058,0.0995
1,13,2024-06-15,1448,2,1,2004,5,1.05,851132.36,2.23,32,1581.69,2024,6,438,13.654324105031051,20,0.3285,0.6942,0.6942
2,3,2023-05-25,3107,5,2,1968,4,1.06,1712377.43,1.53,131,54769.43,2023,5,825,14.353393856817602,55,0.3285,0.3058,0.1044
2,3,2021-02-06,3862,3,3,1959,5,0.88,1771585.0,1.49,39,2199.72,2021,2,1663,14.387385748538904,62,0.3374,0.6942,0.6942
2,24,2021-02-21,1065,4,1,2007,1,0.91,371178.04,1.02,131,25191.81,2021,2,1648,12.824439812782703,14,0.3341,0.3058,0.1044
2,16,2024-03-23,3551,3,2,2016,4,1.06,1679366.72,2.36,48,134323.22,2024,3,522,14.33392792339646,8,0.3341,0.3058,0.0995
1,5,2019-06-30,2312,3,1,1999,9,0.98,1647410.46,1.49,168,2045.53,2019,6,2250,14.31471580188126,20,0.3341,0.6942,0.6942
0,15,2025-06-28,744,5,5,1970,5,1.06,659336.94,2.66,101,1461.53,2025,6,60,13.398991489327686,55,0.3285,0.6942,0.6942
2,27,2018-12-23,3542,3,2,1950,8,1.01,1734389.64,2.32,143,67301.02,2018,12,2439,14.366166693533936,68,0.3341,0.3058,0.0995
0,1,2023-04-06,3036,3,1,2014,4,1.08,1982669.54,1.75,37,59783.03,2023,4,874,14.499955251490013,9,0.3341,0.3058,0.1019
2,9,2021-09-20,2024,4,3,2005,3,1.12,1514054.75,1.41,38,1779.01,2021,9,1437,14.23030253528705,16,0.3341,0.6942,0.6942
0,21,2021-01-19,2884,1,1,1978,5,0.87,1348107.43,2.63,71,2954.6,2021,1,1681,14.114213004904911,43,0.3341,0.6942,0.6942
2,3,2021-10-26,1631,1,1,1996,9,1.09,714355.56,2.78,74,59194.17,2021,10,1401,13.479137500424654,25,0.3374,0.3058,0.1044
0,15,2022-10-18,3443,2,2,1970,7,1.1,2148768.21,1.52,68,95531.06,2022,10,1044,14.580405775720676,52,0.3285,0.3058,0.1019
1,14,2018-12-29,2469,1,1,1965,10,1.01,2385358.2,1.68,55,62554.59,2018,12,2433,14.684860278930795,53,0.3341,0.3058,0.1044
0,11,2018-12-10,3357,2,2,1957,2,1.01,1583288.49,2.42,149,3192.97,2018,12,2452,14.275015196433008,61,0.3285,0.6942,0.6942
2,16,2019-04-05,2930,4,4,2011,1,1.0,1343689.01,2.75,143,3079.29,2019,4,2336,14.11093012614062,8,0.3285,0.6942,0.6942
0,20,2019-03-19,936,2,2,1979,10,1.0,375771.34,1.01,154,316.27,2019,3,2353,12.836738760272361,40,0.3285,0.6942,0.6942
1,0,2025-04-25,3696,4,4,2019,10,1.1,2287153.19,2.55,7,120599.62,2025,4,124,14.642818890933416,6,0.3285,0.3058,0.1044
1,22,2025-06-12,1888,5,1,2023,10,1.15,1050921.78,1.68,105,1471.29,2025,6,76,13.865179174276856,2,0.3341,0.6942,0.6942
2,9,2019-09-12,1204,5,2,1993,8,1.0,876902.75,1.88,21,34046.82,2019,9,2176,13.68415251618663,26,0.3285,0.3058,0.0995
1,0,2022-09-28,3282,1,1,2003,4,1.13,1565069.17,1.1,134,49563.43,2022,9,1064,14.263441218011943,19,0.3341,0.3058,0.0995
2,3,2022-02-24,2936,4,2,1965,7,1.11,2314545.05,2.77,176,5342.74,2022,2,1280,14.65472413556143,57,0.3341,0.6942,0.6942
2,3,2024-02-07,2561,2,1,1963,7,1.13,1102762.21,2.04,119,87757.58,2024,2,567,13.913329597038489,61,0.3341,0.3058,0.1019
2,3,2018-01-08,1363,5,4,1954,9,0.99,846702.69,1.65,95,37304.32,2018,1,2788,13.64910607771701,64,0.3341,0.3058,0.0995
0,20,2024-04-11,2617,4,1,1961,2,1.11,1949210.44,2.0,69,3248.68,2024,4,503,14.482935459008758,63,0.3341,0.6942,0.6942
0,15,2021-11-13,2079,1,1,1967,3,1.1,949526.73,2.77,54,64646.64,2021,11,1383,13.76372001365268,54,0.3374,0.3058,0.1019
0,1,2020-09-11,1660,3,2,1964,5,0.88,934020.74,1.45,10,1128.61,2020,9,1811,13.747254993171357,56,0.3285,0.6942,0.6942
1,22,2023-09-28,2261,4,3,1957,9,1.12,2015158.03,1.8,77,3022.74,2023,9,699,14.51620867332558,66,0.3285,0.6942,0.6942
2,16,2023-09-06,2730,1,1,1977,1,1.13,1224732.01,2.7,136,2755.65,2023,9,721,14.01823342718578,46,0.3341,0.6942,0.6942
0,18,2020-07-15,3427,1,1,1975,2,0.89,927294.75,1.1,66,134590.98,2020,7,1869,13.740027833579282,45,0.3374,0.3058,0.1019
0,11,2018-06-02,2355,4,3,1981,7,1.01,1265385.9,1.37,25,1444.65,2018,6,2643,14.050888483183613,37,0.3285,0.6942,0.6942
2,9,2018-04-18,1445,5,5,2011,1,0.98,918906.88,1.84,39,1408.99,2018,4,2688,13.730941156922878,7,0.3374,0.6942,0.6942
2,24,2025-06-18,3009,2,2,1969,4,1.11,1416227.93,2.05,73,81234.39,2025,6,70,14.163508213896828,56,0.3341,0.3058,0.0995
1,8,2022-12-27,631,3,2,1950,3,1.14,362815.99,2.51,124,12303.17,2022,12,974,12.8016538263361,72,0.3374,0.3058,0.1044
1,19,2019-09-26,2829,3,3,2008,4,0.99,1805790.16,2.61,133,3927.59,2019,9,2162,14.406509369506287,11,0.3285,0.6942,0.6942
2,27,2019-12-30,2805,3,3,1986,7,1.0,1386219.75,2.26,43,2610.71,2019,12,2067,14.142091717333933,33,0.3341,0.6942,0.6942
0,20,2018-12-12,3803,5,2,1982,2,1.0,1473528.77,1.69,10,2075.22,2018,12,2450,14.203171284552674,36,0.3285,0.6942,0.6942
0,11,2019-09-22,2511,4,4,1997,2,0.99,1751657.04,1.72,140,2510.71,2019,9,2166,14.37607334877946,22,0.3285,0.6942,0.6942
2,27,2021-11-02,1129,1,1,2020,5,1.14,806067.45,1.58,137,1061.32,2021,11,1394,13.599923943441107,1,0.3285,0.6942,0.6942
2,3,2025-03-18,2789,3,2,2024,7,1.12,2418795.35,2.49,151,55300.01,2025,3,162,14.698780598367323,1,0.3341,0.3058,0.1019
1,8,2018-05-13,2278,4,2,1992,9,0.98,1282432.77,1.74,25,1859.53,2018,5,2663,14.064270213368067,26,0.3285,0.6942,0.6942
1,0,2020-08-23,2371,1,1,1951,5,0.9,806984.46,2.74,109,1842.61,2020,8,1830,13.601060929741568,69,0.3374,0.6942,0.6942
0,11,2021-03-23,2935,3,2,2007,7,0.9,1575918.62,2.86,146,3755.94,2021,3,1618,14.270349545561217,14,0.3285,0.6942,0.6942
1,14,2019-10-15,761,1,1,1986,2,1.01,539732.33,2.42,149,1088.46,2019,10,2143,13.198830463231284,33,0.3374,0.6942,0.6942
0,15,2024-06-17,3453,2,1,2010,3,1.08,2218679.04,2.01,110,3716.29,2024,6,436,14.612423000441137,14,0.3285,0.6942,0.6942
1,8,2023-03-05,2277,3,2,1973,7,1.13,1430283.79,2.67,133,3182.38,2023,3,906,14.17338413625375,50,0.3341,0.6942,0.6942
1,7,2022-07-29,803,5,2,2003,4,1.12,434428.65,2.11,21,763.87,2022,7,1125,12.981789300337049,19,0.3374,0.6942,0.6942
2,6,2018-04-02,3554,2,1,2013,10,0.99,2351225.91,1.8,154,3526.84,2018,4,2704,14.670447839240811,5,0.3341,0.6942,0.6942
2,6,2023-07-16,1840,4,3,1986,2,1.12,985000.07,2.48,45,70037.71,2023,7,773,13.800398006448052,37,0.3374,0.3058,0.1044
1,19,2018-05-30,1135,3,2,1965,8,1.01,878491.67,2.75,16,20012.48,2018,5,2646,13.685962842806694,53,0.3341,0.3058,0.1044
1,2,2022-12-16,3955,5,1,1952,2,1.11,2171324.08,2.79,45,137455.33,2022,12,985,14.590848175099076,70,0.3374,0.3058,0.0995
1,5,2022-05-17,758,2,1,1956,10,1.09,393891.23,1.04,102,13398.97,2022,5,1198,12.883832622945706,66,0.3374,0.3058,0.1019
2,27,2018-09-27,1831,4,2,1967,7,1.01,1196859.71,1.25,39,35227.23,2018,9,2526,13.995212611854285,51,0.3374,0.3058,0.1044
0,11,2022-06-11,1953,4,1,2006,1,1.09,1081023.47,1.23,65,50561.86,2022,6,1173,13.893419732812879,16,0.3285,0.3058,0.0995
2,27,2019-03-09,1276,2,1,1977,2,1.01,770813.81,2.59,38,1663.67,2019,3,2363,13.555203429141606,42,0.3374,0.6942,0.6942
1,7,2023-04-20,1700,1,1,2013,3,1.05,569778.49,1.25,125,593.52,2023,4,860,13.253004705312112,10,0.3285,0.6942,0.6942
1,14,2024-07-01,1540,1,1,2016,4,1.05,1192666.22,1.34,136,1331.81,2024,7,422,13.991702718328924,8,0.3374,0.6942,0.6942
1,5,2024-12-11,3846,3,2,1989,10,1.12,2366696.82,1.94,138,3826.16,2024,12,259,14.677006216637078,35,0.3374,0.6942,0.6942
1,5,2020-12-25,2634,5,5,1965,9,0.89,2040151.91,1.6,46,2720.2,2020,12,1706,14.5285353188937,55,0.3341,0.6942,0.6942
2,6,2022-05-13,3094,4,2,1972,1,1.14,2539694.04,2.2,122,4656.11,2022,5,1202,14.747554568794456,50,0.3341,0.6942,0.6942
2,16,2021-09-09,3542,2,2,2013,1,1.06,2048393.17,2.29,57,3909.02,2021,9,1448,14.532566712442678,8,0.3285,0.6942,0.6942
2,24,2022-09-22,2845,4,2,2021,10,1.07,2013685.93,2.3,104,58461.57,2022,9,1070,14.515477893305631,1,0.3285,0.3058,0.1019
2,24,2024-01-03,1387,2,2,2007,6,1.14,920048.81,2.81,61,40858.29,2024,1,602,13.732183088863984,17,0.3341,0.3058,0.0995
0,18,2023-05-02,2663,1,1,1963,4,1.08,1538360.81,1.58,50,2025.51,2023,5,848,14.246228648455595,60,0.3341,0.6942,0.6942
2,27,2025-05-18,1124,3,2,2012,6,1.15,947989.54,1.51,108,22494.18,2025,5,101,13.762099802284416,13,0.3341,0.3058,0.1044
1,28,2021-06-01,2675,2,1,1984,7,0.95,1614197.43,2.73,93,3672.3,2021,6,1548,14.294349063253922,37,0.3374,0.6942,0.6942
1,28,2025-02-21,3909,2,1,1967,1,1.08,2490281.49,2.97,16,6163.45,2025,2,187,14.727906711805145,58,0.3285,0.6942,0.6942
1,2,2022-10-09,3531,3,2,1975,2,1.06,2412926.69,2.96,170,114793.35,2022,10,1053,14.696351377311904,47,0.3285,0.3058,0.1044
0,20,2019-09-11,2019,5,2,1958,4,0.99,927304.09,1.85,166,75438.99,2019,9,2177,13.740037905827496,61,0.3374,0.3058,0.1019
0,20,2020-09-27,3194,2,1,1969,7,0.91,1724643.42,2.09,138,3003.75,2020,9,1795,14.360531453865867,51,0.3374,0.6942,0.6942
0,1,2021-06-29,737,4,1,1987,9,0.86,516562.23,1.4,168,602.66,2021,6,1520,13.154952980184625,34,0.3374,0.6942,0.6942
1,10,2022-12-05,2427,5,5,2001,8,1.12,2404383.52,1.66,12,3326.06,2022,12,996,14.69280451192978,21,0.3374,0.6942,0.6942
0,1,2019-11-19,2685,5,1,1983,9,1.02,1719073.91,2.75,160,3939.54,2019,11,2108,14.35729686107694,36,0.3341,0.6942,0.6942
2,9,2020-08-06,3720,4,4,2018,4,0.89,2209369.45,1.32,46,78781.63,2020,8,1847,14.608218168659013,2,0.3285,0.3058,0.1044
1,7,2025-01-01,3188,2,1,1966,10,1.12,1653476.92,1.25,134,1722.37,2025,1,238,14.318391457822234,59,0.3341,0.6942,0.6942
2,27,2024-09-24,3238,1,1,2016,7,1.09,2313655.27,1.75,66,3374.08,2024,9,337,14.654339632054695,8,0.3285,0.6942,0.6942
1,7,2022-05-19,2502,1,1,1982,6,1.1,1377703.41,1.06,107,1216.97,2022,5,1196,14.13592920101472,40,0.3341,0.6942,0.6942
0,15,2024-05-04,3557,3,2,1973,2,1.11,2095092.8,1.66,49,116702.98,2024,5,480,14.555108883605772,51,0.3341,0.3058,0.0995
0,25,2021-06-09,3006,4,4,1987,2,0.9,1906220.59,1.65,60,2621.05,2021,6,1540,14.460633615620242,34,0.3374,0.6942,0.6942
2,16,2018-06-30,1745,5,4,2001,5,1.01,1197689.39,2.97,176,2964.28,2018,6,2615,13.995905585191293,17,0.3374,0.6942,0.6942
0,1,2021-07-16,1056,5,5,1951,4,1.05,890914.87,1.14,149,33948.76,2021,7,1503,13.700005279997153,70,0.3341,0.3058,0.0995
0,1,2022-05-13,1283,5,5,1984,6,1.14,1287709.49,2.47,79,2650.54,2022,5,1202,14.068376385536064,38,0.3374,0.6942,0.6942
1,8,2021-01-24,1724,1,1,1970,7,0.88,588279.98,1.25,135,46385.02,2021,1,1676,13.284959969886255,51,0.3374,0.3058,0.1019
1,7,2018-12-24,3013,2,2,1988,3,1.0,1406928.88,2.96,137,60317.72,2018,12,2438,14.156920498323018,30,0.3341,0.3058,0.1044
2,9,2018-05-26,724,5,2,1956,9,0.99,353741.4,2.11,169,11760.12,2018,5,2650,12.776324243609858,62,0.3374,0.3058,0.1044
0,15,2024-10-12,3350,2,2,1989,7,1.1,1562599.25,1.7,116,2213.68,2024,10,319,14.261861818534529,35,0.3341,0.6942,0.6942
0,11,2025-06-10,3426,4,1,1970,4,1.12,1617264.65,1.53,11,2062.01,2025,6,78,14.29624741078011,55,0.3374,0.6942,0.6942
1,2,2018-09-15,2822,2,2,1979,3,0.98,1680990.6,2.31,39,3235.91,2018,9,2538,14.334894415352688,39,0.3341,0.6942,0.6942
2,26,2024-10-01,2537,2,2,2011,6,1.08,1406215.49,2.04,92,57720.54,2024,10,330,14.15641331531761,13,0.3285,0.3058,0.1044
0,1,2024-09-13,3048,3,2,1965,6,1.13,2162271.21,2.57,43,51285.6,2024,9,348,14.586670175823716,59,0.3285,0.3058,0.0995
1,4,2021-12-04,2980,5,4,1956,5,1.13,2582162.32,2.16,38,4647.89,2021,12,1362,14.764138101680341,65,0.3285,0.6942,0.6942
1,13,2020-07-17,2164,4,4,2002,8,0.86,862312.72,2.17,121,1559.35,2020,7,1867,13.667374427749708,18,0.3341,0.6942,0.6942
0,21,2020-11-27,1472,1,1,2016,9,0.86,771395.99,1.44,164,27785.87,2020,11,1734,13.555958422752282,4,0.3285,0.3058,0.0995
2,27,2024-08-01,1406,5,2,1987,2,1.07,991104.03,1.56,52,40285.76,2024,8,391,13.806575791550925,37,0.3374,0.3058,0.1044
0,20,2023-01-01,2309,4,2,2019,9,1.09,2053750.79,2.23,37,65535.41,2023,1,969,14.53517881990962,4,0.3285,0.3058,0.0995
1,8,2018-04-15,2330,5,4,2018,10,0.99,1929047.16,1.95,170,3134.7,2018,4,2691,14.472537257879997,0,0.3341,0.6942,0.6942
1,8,2019-10-15,2266,4,3,2005,10,1.01,1207103.62,1.88,44,1891.13,2019,10,2143,14.003735174036711,14,0.3374,0.6942,0.6942
0,15,2023-11-11,3830,1,1,1954,1,1.08,1503174.82,2.07,87,99795.06,2023,11,655,14.223090641268142,69,0.3285,0.3058,0.1019
0,25,2021-03-04,2720,4,3,1996,1,0.86,1130045.24,1.11,63,1045.29,2021,3,1637,13.937769110205291,25,0.3341,0.6942,0.6942
0,15,2021-04-22,524,3,2,1990,6,0.94,319921.22,1.48,122,394.57,2021,4,1588,12.675833182731433,31,0.3285,0.6942,0.6942
0,11,2024-04-13,1102,5,2,2021,2,1.09,522363.52,2.08,40,905.43,2024,4,501,13.166120937333126,3,0.3341,0.6942,0.6942
1,23,2022-08-19,3195,2,1,1967,6,1.07,1577771.25,2.1,138,2761.1,2022,8,1104,14.271524441708006,55,0.3285,0.6942,0.6942
2,9,2019-06-07,3373,3,2,1952,2,1.0,2166563.39,1.61,150,2906.81,2019,6,2273,14.588653240468199,67,0.3374,0.6942,0.6942
0,20,2024-01-17,3219,5,2,1959,4,1.14,1669548.48,1.3,5,79255.71,2024,1,588,14.328064375542713,65,0.3285,0.3058,0.0995
1,14,2019-12-27,3782,2,2,1952,3,1.01,2440496.46,2.15,169,4372.56,2019,12,2070,14.707712453538464,67,0.3285,0.6942,0.6942
